Time Steps,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,S_31,S_32
1,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>,<sos>
2,they,with,jack,somehow,<unk>,a,person,leaves,he,why,a,are,document,since,not,was,are,his,they,movie,was,get,will,preference,especially,not,was,she,with,perfect,how,for
3,gets,the,kind,down,too,do,have,decrypted,armie,the,you,anything,war,the,do,too,let,please,too,the,how,really,approval,4572,4625,like,how,animated,are,'ve,since,administers
4,/,not,relationships,been,.,year,did,about,keep,how,after,them,and,human,4234,.,spielberg,yourself,.,they,n't,animated,i,beats,",",reception,much,full,do,of,.,but
5,maleficient,much,feel,funny,hugh,"""",they,war,and,like,came,criminals,more,way,curious, ,on,'s,mike,movie,part,things,not,that,56/100,sir,some,come,since,interest,the,hilarious
6,n't,that,would,probably,on,one,finds,!,.,shape,very,expulsion,!,<unk>,that,like,trust,figured,yes,seems,",",at,two,the,tell,it,.,to,that,.,get,""""
7,that,on,i,bringing,<unk>,a,puppy,cleaner,the,deal,",",film,leonardo,chat,the,eisenberg,friendly,else,where,",",how,hmm,her,movies,showed,best,",",<unk>,other,growing,score,did
8,the,married,was,.,to,do,it,friend,speak,.,not,back,half,interstellar,on,captn,tom,it,out,not,exactly,use,too,intense,don,a,monster,who,ok,spoiled,4017,how
9,movies,that,film,the,moon,:),good,half,typical,is,type,always,!,play,academic,expose,we,cast,this,rating,<unk>,bale,.,they,a,.,watch,just,do,the,is,demographic
10,gets,one,",",facebook,who,snorted,through,from,at,could,when,grade,else,excellent,their,-,good, ,.,have,the,do,all,coworkers,that,anyone,<unk>,the,movie,no,<unk>,watching
11,roles,you,he,probably,.,"""",film,bet,it,feel,it,4870,and,have,one,on,hired,chance,reviews,tried,biographic,really,disney,4336,is,partner,by,<unk>,movies,was,<unk>,funniest
12,rating,really,of,mouth,experience,olga,true,but,good,it,my,uses,decrypted,movie,all,light,well,hiccup,sit,that,is,limited,it,one,are,<unk>,children,would,read,many,to,.
13,have,to,recently,is,to,!,",",show,audience,angeles,ever,voice,!,go,begins,.,in,dvd,the,oher,unsympathetic,about,good,a,oh,quick,undermine,helllo,tell,going,like,the
14,n't,scene,would,stone,fantasy,football,spy,part,!,.,makes,they,:),",",it, ,true,.,let,are,to,movie,be,movie,<unk>,who,<unk>,months,fun,have,more,movies
15,movie,that,no,could,<unk>,able,best,voice,but,i,one,cause,nt,are,beach,rating,",",kevin,the,promote,4148,super,things,everything,sometime,-,audiences,the,they,many,watanabe,moors
16,that,",",<unk>,.,.,rules,oh,fraternities,suggested,was,they,is,show,tell,part,coolio,are,the,is,do,theater,one,at,one,point,<unk>,by,they,n't,home,romance,it
17,the,up,by,the,4686,to,seen,want,giving,too,industries,4,i,spoilers,see,earned,or,ana,ish,dating,to,war,to,preference,are,also,a,too,advanced,.,so,big
18,during,4106,<unk>,is,who,which,do,working,baz,.,but,n't,4691,it,conflict,might,hahahaha,the,the,'s,closely,do,think,info,gross,like,fey,.,one,the,his,like
19,iron,leaving,by,characters,<unk>,it,<unk>,<unk>,-,",",4360,part,is,befriends,is,",",to,it,get,<unk>,it,<unk>,<unk>,it,and,ducard,in,<unk>,working,its,was,<unk>
20,is,married,<unk>,'s,overdose,good,a,is,oh,on,<unk>,involved,<unk>,movie,luther,ok,olga,4164,sad,lines,remember,that,more,more,<unk>,eventually,i,relate,10,better,some,.
21,humor,go,still,!,me,one,or,metric,like,before,one,4578,if,end,and,scarecrow,at,cobb,actually,great,<unk>,one,on,remaining,that,<unk>,check,.,it,anything,.,the
22,do,?,cool,guess,who,enter,<unk>,have,retirement,what,they,a,bruce,is,other,you,yeah,!,basically,true,in,they,though,first,on,.,some,<eos>,my,i,",",manages
23,<unk>,not,just,only,.,able,wo,display,murder,of,seems,low,about,all,luther,fear,4071,is,hi,",",the,seems,4097,n't,200,is,.,<pad>,these,get,how,pretty
24,a,be,",",i,",",they,<unk>,important,.,to,that,as,i,though,do,you,as,bank,movie,ones,bunch,that,often,movie,4701,also,",",<pad>,first,he,like,annoys
25,tomatoes,bullet,went,an,monsters,down,do,office,all,real,",",aurora,like,l,4501,interesting,well,took,another,and,watch,",",me,movies,biography,like,score,<pad>,do,like,knightley,to
26,world,different,he,tend,company,making,or,feel,oh,<unk>,before,the,family,celebration,go,get,in,told,his,v.,see,what,.,a,a,council,<unk>,<pad>,t,many,<unk>,4151
27,terrorist,cover,upper,he,/,actress,<unk>,later,he,john,any,filmed,feel,totally,is,characters,one,behind,'d,think,done,there,did,portion,that,life,<unk>,<pad>,that,of,sure,sure
28,4030,it,and,it,is,it,soon,michael,excellent,it,starring,they,'s,watch,conflict,<unk>,bye,so,again,well,it,favorites,job,<unk>,or,slapstick,is,<pad>,<eos>,.,4552,mulligan
29,on,know,<unk>,but,diqualified,good,mcu,the,thought,good,that,when,was,gordon,to,does,ryan,all,<unk>,in,more,screen,you,<eos>,theft,armor,hiccup,<pad>,<pad>,the,-,connection
30,sophistication,a,got,many,efforts,one,59,new,.,chicago,one,n't,he,it,<unk>,?,tell,into,as,<eos>,water,it,oh,<pad>,that,have,wrong,<pad>,<pad>,his,nt,.
31,and,that,<unk>,given,who,you,my,life,",",agree,not,that,these,know,a,scare,responses, ,wants,<pad>,robots,hard,shadows,<pad>,<eos>,.,another,<pad>,<pad>,for,fictional,the
32,4086,on,3874,.,.,others,the,2012, ,.,batman,<eos>,at,a,<unk>,about,camping,by,<eos>,<pad>,story,that,heard,<pad>,<pad>,tone,during,<pad>,<pad>,private,notebook,egotistical
33,<unk>,grant,14,i,whole,a,do,netflix,oh,also,john,<pad>,!,on,this,seeing,tom,common,<pad>,<pad>,helps,<eos>,<unk>,<pad>,<pad>,lon,gon,<pad>,<pad>,a,notebook,understand
34,at,and,to,really,<unk>,that,a,court,although,what,choice,<pad>,<unk>,rating,do,washington,<eos>,similar,<pad>,<pad>,previous,<pad>,.,<pad>,<pad>,bargin,but,<pad>,<pad>,4356,.,","
35,a,cover,you,you,at,?,see,toyed,'s,of,that,<pad>,thing,sleeping,plot,i,<pad>,by,<pad>,<pad>,a,<pad>,?,<pad>,<pad>,yes,fighting,<pad>,<pad>,people,",",pretty
36,world,have,feel,  ,it,<eos>,<unk>,minute,4172,to,one,<pad>,.,agree,<unk>,<eos>,<pad>,quick,<pad>,<pad>,forever,<pad>,you,<pad>,<pad>,...,ranks,<pad>,<pad>,wonderful,once,by
37,thriller,that,wants,think,good,<pad>,and,of,4865,fan,they,<pad>,if,<eos>,think,<pad>,<pad>,movie,<pad>,<pad>,best,<pad>,absolutely,<pad>,<pad>,this,so,<pad>,<pad>,",",'s,<unk>
38,<eos>,other,?,?,<eos>,<pad>,originally,cleaner,'s,always,buzz,<pad>,be,<pad>,your,<pad>,<pad>,as,<pad>,<pad>,task,<pad>,for,<pad>,<pad>,.,is,<pad>,<pad>,he,recommend,official
39,<pad>,they,<eos>,<eos>,<pad>,<pad>,'s,i, ,about,names,<pad>,convinced,<pad>,great,<pad>,<pad>,dvd,<pad>,<pad>,empire,<pad>,john,<pad>,<pad>,i,how,<pad>,<pad>,kids,<unk>,by
40,<pad>,grant,<pad>,<pad>,<pad>,<pad>,russian,<eos>,what,kurt,'s,<pad>,still,<pad>,<eos>,<pad>,<pad>,<eos>,<pad>,<pad>,martha,<pad>,.,<pad>,<pad>,of,4066,<pad>,<pad>,interest,it,<unk>
