Time Steps,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,S_31,S_32
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,32,36,1352,3585,0,9,415,982,22,178,9,41,264,184,39,16,41,46,32,17,16,99,98,2377,278,39,16,76,36,515,47,26
3,220,5,138,371,51,23,25,1312,2064,5,14,312,225,5,23,51,309,894,51,5,47,44,2061,4572,4625,21,47,271,41,187,184,2569
4,326,39,1397,137,4,357,38,35,348,47,229,103,18,510,4234,4,469,1133,4,32,29,271,6,2083,8,2394,107,818,23,15,4,28
5,3210,107,144,135,373,60,32,225,18,21,284,2152,84,158,1735,27,43,20,305,17,134,317,39,13,1444,2428,101,493,184,441,5,586
6,29,13,50,156,43,53,765,24,4,1114,65,2940,24,0,13,21,1257,2212,42,129,8,59,275,5,212,7,4,11,13,4,99,60
7,13,43,6,2100,0,9,446,2736,5,527,8,67,342,369,5,635,1782,261,133,8,47,639,88,49,693,201,8,0,112,1186,162,38
8,5,1854,16,4,11,23,7,425,1237,4,39,249,1187,3127,43,2700,274,7,71,39,554,489,51,1074,2178,9,500,62,150,1602,4017,47
9,49,13,67,5,827,323,34,1187,922,12,439,148,24,224,2040,2204,100,257,31,176,0,599,4,32,9,4,79,66,23,5,12,2829
10,220,53,8,411,62,3582,350,82,59,146,63,3019,261,636,115,91,34,27,4,25,5,23,64,1729,13,706,0,5,17,87,0,276
11,739,14,22,156,4,60,67,602,7,144,7,4870,18,25,53,43,1811,631,177,700,2092,44,232,4336,12,892,81,0,49,16,0,1508
12,176,44,15,1214,862,1377,174,28,34,7,74,3753,1312,17,64,3173,56,335,1962,13,12,3178,7,53,41,0,358,50,272,221,11,4
13,25,11,1395,12,11,24,8,486,1671,1659,308,388,24,175,669,4,19,951,5,989,3746,35,34,9,73,1918,3737,3056,212,231,21,5
14,29,121,50,620,864,870,695,134,24,4,203,32,323,8,7,27,174,4,309,41,11,17,45,17,0,62,0,1213,330,25,84,49
15,17,13,87,146,0,390,201,388,28,6,53,712,128,41,751,176,8,383,5,1571,4148,339,317,530,1235,91,2072,5,32,221,2006,1551
16,13,8,0,4,4,1112,73,2993,3636,16,32,12,486,212,134,2780,41,5,12,23,1415,53,59,53,267,0,81,32,29,315,542,7
17,5,85,81,5,4686,11,68,163,768,51,1192,1026,6,3601,58,2188,83,1032,3136,2159,11,225,11,2377,41,78,9,51,2576,4,37,193
18,346,4106,0,12,62,145,23,522,1462,4,28,29,4691,7,856,209,2244,5,5,20,2126,23,30,610,1511,21,1180,4,53,5,46,21
19,325,2289,81,167,0,7,0,0,91,8,4360,134,12,2650,12,8,11,7,99,0,7,0,0,7,18,1318,19,0,522,92,16,0
20,12,1854,0,20,3329,34,9,12,73,43,0,534,0,17,1088,150,1377,4164,310,1083,139,13,84,84,0,762,6,1396,627,205,101,4
21,640,175,140,24,54,53,83,3239,21,213,53,4578,69,153,18,692,59,1717,166,55,0,53,43,3476,13,0,259,4,7,312,4,5
